original_key,new_key
posti2019,Posti2019
press1974,Press1974
preston2019,Preston2019
purcell_2007,Purcell2007
pytorch,Paszke2019
queiroz_starhorse_2018,Queiroz2018
radburn-smith_ghosts_2011,RadburnSmith2011
randich2013,Randich2013
refiorentin2015,ReFiorentin2015
reid_2020,Reid2020
riley_2025,Riley2025
riley_aurigastreams1_2024,Riley2025
roberts-borsani_2024,RobertsBorsani2024
robertson2005,Robertson2005
robin_gums_2012,Robin2012
rocha_2012,Rocha2012
rockosi2002,Rockosi2002
roman_1950,Roman1950
ruby_abc_1984,Rubin1984
ruiz-lara2022,RuizLara2022a
ruiz-lara_2020,RuizLara2020
ruiz-lara_2022,RuizLara2022b
sanders2016,Sanders2016
sanders_2021,Sanders2021
sandersdas_2018,Sanders2018
sanderson2019,Sanderson2019
sanderson_synthetic_2020,Sanderson2020
sante2024,Sante2024
sante_2024,Sante2024
sante_2025,Sante2025b
sarkar_2025,Sarkar2025
schaye2015,Schaye2015
schaye_2015,Schaye2015
schaye_eagle_2015,Schaye2015
schiavon_2024,Schiavon2024
schonrich_2010,Schonrich2010
scikitlearn,Pedregosa2011
searle1978,Searle1978
searle_1978,Searle1978
searle_composition_1978,Searle1978
searlezinn_1978,Searle1978
shen_massmw_2022,Shen2022
shih_via_2022,Shih2022
shipp2019,Shipp2019
shipp2023,Shipp2023
shipp_2025,Shipp2025
silk1968,Silk1968
simpson_2018,Simpson2018
smith2003,Smith2003
springel2005,Springel2005b
springel_2001,Springel2001
springel_2005,Springel2005b
springel_2010,Springel2010
springel_arepo_2010,Springel2010
springel_bh_2005,Springel2005a
springel_ism_2003,Springel2003
sun_2025,Sun2025
sylos_massmw_2023,SylosLabini2023
tensorflow,Abadi2016
thielemann2003,Thielemann2003
thomas2024,Thomas2024
thomas2025,Thomas2025
thomas_2025,Thomas2025
tilly_2020,Evans2020
ting2025,Ting2025
tinker_halomassfn_2008,Tinker2008
tissera2013,Tissera2013
torrey_2019,Torrey2019
travaglio2004,Travaglio2004
traven2017,Traven2017
tremaine_geometry_1999,Tremaine1999
tronrud_machine_2022,Tronrud2022
trujillo_gomez_2023,TrujilloGomez2023
uria_autoregressive_2016,Uria2016
vanloon_mzrscatter_2021,vanLoon2021
veljanoski_leaves_2019,Veljanoski2019
vincenzo_2019,Vincenzo2019
viterbo_casbi_2024,Viterbo2024
vmeasure,Rosenberg2007
vogelsberger_2013,Vogelsberger2013
vogelsberger_galaxy_2013,Vogelsberger2013
wang2022,Wang2022
wang_mwmass_2022,Wang2022
wang_nihao_2015,Wang2015
watkins2019,Watkins2019
white1978,White1978
white_1978,White1978
white_core_1978,White1978
whiterees_1978,White1978
widmark_2025,Widmark2025
woody_2025,Woody2025
yoshii1982,Yoshii1982
yuan2018,Yuan2018
yuan2020,Yuan2020
yuan_2020,Yuan2020
zhao_lamost_2012,Zhao2012
zolotov2009,Zolotov2009
zolotov_2009,Zolotov2009
